ID,Species,G,C
HQ1698810.3,B,24.96586688,23.91300909
QN9980650.4,C,25.92125587,24.54380252
HG1629310.4,A,30.45261593,28.38633122
QQ5375260.4,A,30.13737642,30.76503944
NC2346630.2,B,26.19885248,25.02687774
NN3211370.1,A,23.11656058,21.95321726
CC7208140.3,A,21.31315241,20.18096953
GH5962010.2,A,24.41655555,23.12358417
QH4947100.1,B,32.12193326,30.83351605
NC6592370.3,C,30.98558815,27.79602532
NC2054820.2,B,35.97116362,34.36218784
CH1061160.2,A,25.89513775,24.81687783
NC7936920.3,A,22.84171096,22.29582576
NH8023970.2,C,31.11400744,30.13220259
QH9244190.3,B,29.39375765,28.13839844
QH6999780.1,C,25.51417425,26.38070309
QH7038970.1,C,14.08368521,14.41754317
HQ2872380.1,B,25.94046523,23.27976336
NC5430060.2,C,22.77606962,22.72197705
GQ6775920.3,B,27.07277288,25.27470306
QQ4670540.2,B,21.39667585,20.21204883
CN6573560.1,C,22.14193209,21.70855101
QQ4709740.1,A,20.8951203,20.50825218
CC7191270.3,B,32.89169852,32.05909863
GG1941600.3,A,23.66715363,22.0445776
HC6161170.3,B,23.40561008,23.39573592
CH9147340.1,B,25.87798231,23.24073588
QH6975020.3,B,24.14245504,20.78220815
HH1564820.2,C,24.17112541,24.37186989
CN7437860.1,C,31.87715598,30.03494226
GH6930140.2,A,26.2790687,23.62325484
CN1655510.3,A,19.92152839,18.67209574
GQ7764840.1,A,27.5013319,26.17734327
QC8021670.4,B,23.57197436,21.92654439
CN3491870.3,A,22.92377292,19.80653677
NN5020700.1,A,23.40500454,24.00370169
QC3867840.3,B,25.69112538,24.9900731
HQ2296000.1,A,28.98652124,25.80118626
CH8127610.4,A,27.63948441,26.11548479
NN9265120.4,C,24.63053682,23.75615057
NG8284720.4,B,19.28354889,17.49064715
QQ2194460.3,A,20.19589517,17.66916482
NH8258640.3,B,31.25362613,29.22756075
QH6118180.3,B,23.98085374,20.84174127
QG8143260.3,C,23.71171135,21.54885261
QN3744740.3,C,31.43905368,28.56414244
GH4426910.3,B,24.82013643,24.8027288
NN6905000.1,B,20.87960367,20.14079509
HQ3336810.1,A,25.83226339,23.85208604
QN6147390.3,A,24.59539229,22.89643212
GC1189870.1,C,31.84971353,29.40517787
HQ4273970.4,A,24.11591586,22.10748677
QG7692430.2,B,18.88890215,17.94111012
HC3313890.3,B,24.9519343,24.03055122
QC1170490.1,A,26.54916864,23.75157478
NG7291660.2,B,23.27092624,22.01743776
QG4140110.2,B,23.81946372,22.03623119
NN5204790.1,B,25.91537731,24.62459342
QN8681700.3,C,28.67503905,26.38402901
GH6514290.3,B,18.90003648,18.22060706
CN4709520.1,A,23.91605371,20.79272234
NN8351380.4,B,28.20280832,25.06669257
GQ2012880.2,C,30.07951575,28.54557993
HQ2170510.3,A,29.37568248,25.00045409
HN3955410.4,C,32.24162548,31.07298047
NN9405380.4,A,21.25965535,20.32868585
HG1016180.4,C,19.91765258,19.75147766
QH1774660.1,B,20.93797891,19.43647185
GQ7646340.2,A,24.37922149,21.46594413
CN7094030.1,A,25.07352869,23.53179726
GG3533370.3,C,28.75751284,27.12571545
NG7083050.2,C,28.24652346,27.47652703
GH1703890.2,A,27.02126778,27.55647453
NQ9314080.4,B,32.09822025,29.38808069
NN6163250.2,A,28.59742838,27.73199895
GC1445390.1,B,24.00049204,21.33804523
CG3209520.3,C,23.14952411,22.47397175
NG9249980.1,B,29.56981742,29.80178217
GQ4131550.1,B,25.91051595,25.94771117
HQ9899450.2,A,25.13091402,22.27322728
CH4562110.3,A,24.34054731,23.40443183
QQ6780070.1,C,20.87463998,21.99352768
CG6661910.2,C,29.65394393,28.02919632
NN9594990.2,A,22.7285326,21.95485084
CG1277200.1,C,23.80021644,22.12692339
QG5920700.4,C,28.46331346,27.32569096
QC3250780.3,A,24.79247833,23.78479023
GC7589270.3,B,33.22253376,32.1734867
NQ2545100.4,A,32.13355541,30.87651466
QH2622670.1,C,18.46789497,17.69564348
NG8931280.1,C,25.94239373,24.80178171
CG8260660.2,C,24.77967802,26.11203469
NN2571270.4,C,24.18815447,23.22422872
NG8049260.1,C,25.63847857,23.74627244
GH7005990.2,A,22.89184436,22.05687796
CQ1467370.3,B,24.0037774,22.67945303
QN1514310.1,A,26.73391295,24.7618952
GH5183950.2,B,29.22533522,28.9123319
GQ6463680.1,B,23.78764693,22.56796789
QH6087680.3,C,19.35327645,17.68591211
HN2303640.1,B,26.51536322,24.28278156
NN6600460.3,B,26.75802798,26.12018279
QC8082590.4,A,24.64354369,24.0107542
NH7084400.3,C,21.83678577,20.0829724
GQ4868420.1,A,27.01724997,25.82838868
CH8218580.2,C,26.91421038,26.04206966
CQ3593890.4,B,26.06099724,25.21660887
CC2076380.4,B,27.56591961,25.91024189
HG6571120.4,C,23.28094921,22.97727655
GQ8456550.1,B,27.07569203,26.71003566
NC4640950.3,C,26.15176253,24.06085181
HG4129400.3,A,25.75032356,24.23282928
HG7357980.4,A,20.560119,18.33087092
CG2029120.3,C,25.46052319,23.89083124
NN2052120.1,C,30.19175392,28.37867305
QN2424050.1,A,32.30686298,30.04134902
QN3691600.4,C,32.81874894,31.08641827
GQ2138800.4,B,30.49094485,30.80261896
HN8699460.2,B,20.78917303,20.7740766
QG3563630.2,A,27.62534533,26.97278749
GQ8551170.1,B,22.16041902,21.5511206
GG3947390.1,A,32.99419086,30.90703952
GG7512950.2,C,23.81744947,21.38976367
QC3082660.4,C,24.46533352,22.63187401
GC3096500.3,A,24.34260048,21.65662661
NQ3473700.4,B,33.39886585,31.99779637
HG7007860.1,C,23.66107457,23.74371644
HN9717290.2,B,29.86442771,28.35627398
QH6015930.1,A,16.02456955,15.14195622
NN7050710.4,C,29.30594005,28.51503198
HG1395280.4,B,20.68510955,19.15276473
NQ5282420.1,C,26.58672019,25.74192899
HH3756860.1,B,26.43766237,25.46152825
NN5047530.1,B,29.84871176,28.37200353
GQ5989950.1,A,20.88335345,18.80342626
QH4732150.1,C,28.03388562,28.20731988
HN8483240.1,C,21.71052965,21.37782
HG1234160.2,C,24.45873134,24.75587356
CC3404240.3,C,29.53576426,29.4533197
CH5779300.2,C,21.21689369,18.10420109
HC5575090.1,B,23.90196951,21.79429273
CC4754260.3,C,25.37216879,25.47349948
CC7459080.3,A,21.14554176,19.64219642
CH1683380.4,B,25.07738377,24.44523931
GN4734320.3,A,23.87425298,20.95054589
NH7282240.1,B,30.40367627,30.02959875
GQ7981140.2,B,30.37105544,26.62715627
GN1317350.3,C,22.90583967,22.9533645
HG8035820.4,C,25.07949087,23.51901788
HH5022110.4,A,24.41377234,25.41467223
NG3553340.4,C,28.40050938,26.22765964
CG6536370.2,B,20.33195444,17.42552842
HC8363750.4,A,20.55786616,18.46565117
HN5824910.4,B,29.95524955,28.92513345
NC1616260.4,B,26.61875055,24.5351782
NG6353400.3,A,24.92881501,24.30240367
HG8309560.2,A,25.74088729,22.64766133
CQ2318470.4,A,26.61234464,25.24285585
NH4585070.4,C,25.53725413,24.31006924
CH9052890.4,A,25.86257947,25.03006576
NQ1274680.4,B,32.25465039,30.65551118
HH7514050.2,C,23.15422781,23.17896749
NG6058040.1,C,32.59088374,31.55067552
CQ8338800.3,C,21.83749101,20.67552397
GC5295650.4,B,30.26825161,29.26485181
CH1688270.4,B,22.96692187,22.51861401
CH1550290.3,A,24.45697759,23.26955849
GG6240850.2,B,22.52859478,22.15570129
HG3473590.3,A,23.16358726,21.78158416
NQ2680750.2,B,18.40091661,18.82279017
QN2430470.3,A,23.85070143,22.99821731
GG9282390.4,C,30.10481244,29.66071543
CC9519910.3,C,27.23335493,24.38923319
GH4218370.2,A,28.40437722,26.81738503
GH6407460.1,C,19.83152333,18.35794616
GN4937510.3,B,29.47199828,29.2552402
HG2187640.2,B,17.35553754,15.62648915
GQ2979810.4,C,24.27588341,22.82638238
CC5158910.1,B,23.70768987,23.34639115
QH8702130.3,A,29.81846076,28.12468437
NN4245520.3,C,21.43122951,20.95716174
HC4583440.1,B,29.76840282,26.78490585
NH9139530.3,C,24.5149412,23.24782833
NG7445350.1,B,18.99131276,17.72587483
GG9052170.2,C,29.01693378,28.21604006
NG6330620.1,A,21.95129868,20.96698371
QN4077380.2,A,22.51601547,20.25680239
GQ9234960.2,C,29.86053832,28.91935142
CC7736300.4,A,26.26560429,26.19932316
HC4479810.4,B,23.20319799,20.19304311
NC3176160.4,B,26.7265668,26.59595351
GN7867430.3,C,30.85667352,27.83643092
HG4238850.1,B,23.9642725,22.74262096
NG1703130.1,A,23.8499233,21.40054872
NG3109350.1,B,23.61982847,22.67309771
GH8063310.1,B,23.270197,23.73862388
HN7104310.1,A,29.96984826,27.24900782
CH2314770.4,C,24.65643349,23.10200338
GH8207050.3,A,30.97045143,30.26651474
NH1419460.2,A,17.68325812,17.45766324
HN2154060.1,C,22.96352863,23.13735895
NG9128530.4,C,30.38424086,25.93382039
QC6066860.2,A,26.07992505,25.12394857
NH1358600.2,A,24.32859985,21.90032779
HC3287960.1,B,24.69142922,22.90749071
HH4585660.4,C,25.04860488,23.35698801
HN8220030.1,B,32.85153893,32.70338158
CQ6694390.2,A,26.96835828,28.31711718
CN5007110.3,A,22.74386424,21.81865034
HQ1706350.3,B,24.74858077,24.51498075
NH2314820.2,B,22.54077529,21.82242671
QQ3846090.1,A,24.7457893,23.33063738
HC6857950.2,A,31.0581531,29.36253284
CG9021010.2,C,24.0871702,22.39830052
CN5832780.2,B,22.2457463,20.37200109
QC8397540.4,A,25.01347225,21.81881999
NG5554280.1,B,31.64496328,29.53595442
HG6659900.2,C,26.34336002,23.82111501
CQ2355530.2,B,30.28536669,28.64827052
CG1931130.2,A,19.67284217,18.58818591
NC4620350.3,B,32.71821586,31.22458314
GH3369380.2,B,21.43757181,21.4050512
NG1422560.3,B,32.28175135,30.40824198
HQ6146890.2,A,32.47849202,30.02031832
QQ8094600.2,C,25.60513502,23.39194977
NQ6936590.4,A,19.65610083,19.3169235
NN9129990.3,B,26.36648115,24.08150127
NG4078170.1,A,26.22368123,24.89467283
CQ6013430.3,A,22.06206222,20.80481432
CC6596730.2,B,24.24909297,21.80953634
NC5194400.4,A,15.29072626,15.30953763
GG9453710.1,B,24.11659171,24.21057706
CH2490790.4,A,28.4055548,27.76196055
HN6069900.1,C,27.16136316,25.13264903
CQ3638460.3,A,24.98508421,23.38607685
NH9966900.3,C,21.9895074,20.9975543
QQ4233570.1,C,21.9214164,20.32618189
NQ1045940.4,B,22.92410889,23.5604547
HC9049700.4,C,29.12862794,28.57849016
GN8132700.3,A,14.82573159,14.41203852
HN2065950.3,A,27.21578257,25.86611939
QC6888410.3,A,26.67008052,24.15240233
QN3980330.4,B,27.73176047,28.59058028
HN9164950.1,B,24.68950174,23.63269796
NH1104580.1,C,30.63688321,30.66411638
CG5129640.3,C,21.91392284,22.60253834
HG8307620.1,C,26.24878808,24.2109252
CQ5582890.3,A,24.85035518,22.58826282
CN3404860.2,A,23.23310455,20.83485377
QQ4878030.3,B,24.66858296,22.52944828
QG9259520.2,C,26.76279783,26.23032938
QN8332780.4,A,34.64876524,32.05092747
NC1258670.4,C,28.00774816,26.35079046
GH1650620.3,A,19.68253227,20.87760314
HQ5275810.3,C,22.6195841,20.08272963
CH1487030.1,A,22.88809642,22.44964573
CG1919400.2,A,31.1400448,29.60077977
NC9639760.3,B,23.97846112,20.67085046
QN8951590.2,C,26.4884389,24.86354037
GN4222570.3,A,23.29020485,21.88363759
GQ4651730.3,B,24.09059114,24.3143151
GQ2843790.4,B,33.53588104,31.95125993
GN2899700.4,B,24.72714261,21.97684787
NH2157500.3,B,31.10149394,28.88683739
CQ5362340.2,C,24.11459989,23.28820307
HH5600040.1,B,26.06843697,26.62197001
HH3802650.4,A,20.66104076,20.87801542
HG1147670.1,B,25.1802385,24.36741165
GH7418840.3,A,20.58925977,18.83400433
CQ8377550.2,A,27.28662171,22.98735989
CN8232980.4,C,28.50894072,27.38146777
GN9149500.4,A,20.67103474,20.10030037
GQ3024300.2,C,26.16505933,24.70176953
HC3032980.1,B,25.17627791,23.01876834
CH1013590.2,A,18.15035844,16.00050461
HH3662990.3,A,31.77861091,30.31073294
QG6801980.3,B,25.96890369,24.88894009
QG8689950.2,A,23.79690606,22.20644633
QH9648340.3,B,29.92321569,29.16616804
QQ8871250.4,B,32.924699,30.79562917
QC3998750.4,A,23.43563211,22.22602507
NG5040870.4,C,27.91156308,27.94714188
HC7264910.3,B,24.63258944,23.06670361
GN6598030.4,B,23.15201846,23.66992397
QG5046240.4,A,24.92286153,22.53452262
GN3058290.1,A,28.71047301,26.88719742
HG9186630.4,C,20.0680162,18.41623569
NH2718680.1,C,30.08021959,27.58638094
NG3604860.4,B,22.33907127,21.36200489
NH5020580.1,C,16.9720703,14.53821415
GH5877820.1,A,27.22023679,25.47261797
HQ6473320.3,C,21.83127493,22.55324236
GN8830620.3,C,31.10957341,28.99958811
NQ2164660.4,C,22.68614268,22.27478184
QN2582690.1,B,24.61495648,24.00174776
GQ9942250.2,B,23.81097291,22.00087785
CH9389150.4,A,22.18506412,20.10951281
CH6997550.2,A,28.18630621,26.32646783
CG2183090.3,B,25.82888146,22.13727113
CQ1880300.2,B,21.47684649,19.29032128
QN5536720.3,B,22.2122941,19.90326844
QQ3734280.3,B,25.1497957,24.02436818
GN2432940.1,C,22.75270355,21.65209739
CH5225850.4,C,24.09057292,23.61043951
CC7362280.4,B,25.85942864,24.34015483
NC6486280.4,A,26.02495943,25.63920357
NN2871660.1,A,23.34102702,22.31919544
HC8348110.4,B,23.90716768,22.48163007
QC1978140.4,C,23.86782375,20.32621839
QH7848290.4,B,26.8777531,25.41559207
GG4257470.1,C,31.79523726,31.19820085
NH6179110.4,C,21.83707624,21.76274647
GG5524410.1,C,16.37195083,14.72653848
HC2189460.3,A,30.03636381,28.4663918
CN6362630.4,C,26.41878534,23.18858443
QG2066050.4,A,22.35569632,21.44667284
QQ5706740.4,A,29.35391092,26.02689853
GQ5264270.4,B,20.2435048,18.5868497
HC5661490.4,B,18.11379012,17.13638629
GH2077000.2,B,28.01360552,26.2043161
CC7402820.4,A,27.91662513,25.60486902
QH7482310.2,C,25.31739914,25.57151754
GH9872360.3,B,27.73766595,26.73590576
GH4593560.4,B,29.44886208,28.75210635
CC1397340.3,A,24.03946347,22.48813729
NN6496640.2,B,26.20349501,24.95132672
GH3026400.3,C,20.2757127,19.21809744
QG4052300.2,B,26.12979449,23.84216786
CN7717050.3,C,26.2464138,25.34082015
GN3574620.2,C,26.62032878,26.82621875
HQ1346550.3,A,27.70684891,25.82930918
QC9416350.2,C,17.92568161,17.97175509
HQ1109520.4,B,23.03484816,21.99315109
GN7166900.4,C,25.26662312,22.81674395
HQ8753360.1,C,28.26984878,26.86361525
NQ5265730.2,A,28.93335271,27.92913211
QN6748970.2,C,25.58478024,26.02260728
NG1688160.4,B,28.16021741,26.71713548
GH4399190.4,C,23.10718595,21.54377687
QQ6172010.4,A,25.22402455,23.93892661
CC4149560.2,A,18.18531648,17.5911813
NC3467790.1,C,24.45130742,25.0573952
NQ9252670.4,C,27.64145647,27.36404962
QC2128880.3,B,25.38997297,24.08271878
NC6955050.1,B,16.60653622,14.86689135
NQ6568680.1,A,24.32565401,22.7214622
HH4146000.3,C,29.13099084,27.53138302
QQ7085050.2,A,25.18774242,21.85039998
QQ4872920.2,C,22.69536722,21.27032506
NG8570640.3,B,26.11650541,24.7729119
CG3942930.1,C,34.20349457,31.90219112
QQ2440920.2,C,25.6041352,23.2710583
CG4210940.2,B,15.14223133,13.20352766
CN6084910.2,C,26.56043377,25.69758559
GQ3888500.4,B,22.17638819,21.89421575
GN7511140.2,A,21.07236551,20.50834806
GC1135070.3,B,21.75305996,20.58241109
GQ5832200.3,B,27.06337769,25.61273109
GQ4507340.3,A,28.90692035,26.9601028
HG3866290.2,A,21.30189966,20.29031408
HC6856800.3,A,23.92952028,24.46705845
HN8514930.1,B,22.04040723,21.80301666
HN6845570.2,A,32.91160036,30.53280985
HC4799990.1,A,24.10945997,22.90090412
NH6273780.3,C,25.52332228,24.17124053
NC7536000.1,B,29.35168716,28.64405252
GQ1763750.2,C,30.34015279,28.46510571
QH8543580.2,C,25.45914861,24.83102584
NN4428770.4,C,29.91703176,28.99055791
GQ1935710.4,B,26.29307444,27.13897307
CN3540640.2,B,23.78467725,22.34197767
CH6648090.2,C,27.19115669,25.88383288
HC1342190.2,B,30.25866626,28.91723863
HC3042470.2,A,27.42185213,24.72822166
QN2306450.3,C,28.59099096,28.22167965
HH7500680.2,C,21.19272581,19.77733226
NC1459500.4,B,22.40741296,18.51931717
QQ9755550.4,B,25.16967148,24.27554536
QG3841270.2,B,31.46225364,31.41998242
QC5290240.3,C,20.61484834,20.08511902
GH2727870.1,C,21.29184209,20.33177
CQ9997590.1,C,20.8090819,20.79961752
HQ4109050.3,B,26.10827716,25.64645613
CH3290450.4,A,34.62059063,34.46620843
QN6446090.1,B,23.73837282,23.55043919
QH6936180.3,A,20.75170893,17.54466945
HG9655750.4,C,22.86222425,21.8227265
